customerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment,Churn,Contract
0002-ORFBO,17,8,530.07,4,2,2,Potential Loyalists,No,One year
0003-MKNFE,11,10,601.23,5,2,2,Potential Loyalists,No,Month-to-month
0004-TLHLJ,96,6,426.83000000000004,1,1,2,Hibernating,Yes,Month-to-month
0011-IGKFF,173,14,1370.38,1,2,3,Needs Attention,Yes,Month-to-month
0013-EXCHZ,130,3,243.05,1,1,1,Hibernating,Yes,Month-to-month
0013-MHZWF,8,9,624.71,5,2,2,Potential Loyalists,No,Month-to-month
0013-SMEOE,23,71,7771.65,3,5,5,Needs Attention,No,Two year
0014-BMAQU,22,64,5490.01,3,5,5,Needs Attention,No,Two year
0015-UOCOJ,30,7,338.95,2,2,2,Hibernating,No,Month-to-month
0016-QLJIS,12,67,6104.36,4,5,5,Champions,No,Two year
0017-DINOC,6,56,2521.31,5,4,4,Champions,No,Two year
0017-IUDMW,18,72,8346.44,4,5,5,Champions,No,Two year
0018-NYROU,19,7,476.1,4,2,2,Potential Loyalists,No,Month-to-month
0019-EFAEP,12,73,7353.28,4,5,5,Champions,No,Two year
0019-GFNTW,10,58,2599.33,5,4,4,Champions,No,Two year
0020-INWCK,10,71,6843.91,5,5,5,Champions,No,Two year
0020-JDNXP,20,36,2220.03,3,3,4,Needs Attention,No,One year
0021-IKXGC,31,1,73.97,2,1,1,Hibernating,No,Month-to-month
0022-TCJCI,78,44,2760.23,1,4,4,At Risk,Yes,One year
0023-HGHWL,52,3,74.17,2,1,1,Hibernating,Yes,Month-to-month
0023-UYUPN,29,51,1289.35,2,4,3,At Risk,No,One year
0023-XUOPT,135,13,1203.77,1,2,3,Needs Attention,Yes,Month-to-month
0027-KWYKW,25,23,1947.76,3,3,3,Loyal Customers,No,Month-to-month
0030-FNXPP,12,3,61.72,4,1,1,Potential Loyalists,No,Month-to-month
0031-PVLZI,87,3,57.74,1,1,1,Hibernating,Yes,Month-to-month
0032-PGELS,94,1,30.89,1,1,1,Hibernating,Yes,Month-to-month
0036-IHMOT,3,55,5738.91,5,4,5,Champions,No,One year
0040-HALCW,12,53,1085.51,4,4,3,Loyal Customers,No,Two year
0042-JVWOJ,6,27,529.19,5,3,2,Potential Loyalists,No,One year
0042-RLHYP,20,69,1335.32,3,5,3,Loyal Customers,No,Two year
0048-LUMLS,20,39,3535.02,3,3,4,Needs Attention,No,One year
0048-PIHNL,15,50,1030.96,4,4,3,Loyal Customers,No,One year
0052-DCKON,22,65,7470.05,3,5,5,Needs Attention,No,One year
0052-YNYOT,17,68,1395.54,4,5,3,Loyal Customers,No,One year
0056-EPFBG,14,22,874.43,4,3,2,Potential Loyalists,No,Two year
0057-QBUQH,26,42,1061.81,3,4,3,Loyal Customers,No,Two year
0058-EVZWM,10,56,5040.7699999999995,5,4,5,Champions,No,Month-to-month
0060-FUALY,8,61,5801.47,5,4,5,Champions,No,Month-to-month
0064-SUDOG,28,12,242.09,2,2,1,Hibernating,No,Two year
0064-YIJGF,29,29,2172.1,2,3,4,At Risk,No,Month-to-month
0067-DKWBL,82,1,50.2,1,1,1,Hibernating,Yes,Month-to-month
0068-FIGTF,21,28,2208.29,3,3,4,Needs Attention,No,One year
0071-NDAFP,32,26,666.29,2,3,2,Needs Attention,No,Two year
